name,ID,ObjName,IoU50,IoU75,processTime(s)
ImageMatching,0,car,0.8,0.6,0.00833333
ImageMatching,18,person,0.2,0.2,0.017
ImageMatching,22,car,0.0144928,0.0144928,0.00341176
ImageMatching,26,person,0.0909091,0.0909091,0.00436364
ImageMatching,28,person,0.125,0.125,0.002375
ImageMatching,62,person,0.5,0.25,0.00533333
ImageMatching,65,person,0.0625,0.0625,0.0016875
IoU,0,car,0.8,0.6,0.00266667
IoU,18,person,0.6,0.4,0.0004
IoU,22,car,0.0144928,0.0144928,0.0
IoU,26,person,0.181818,0.0909091,0.0001
IoU,28,person,0.25,0.125,0.0005
IoU,62,person,0.5,0.25,0.0005
IoU,65,person,0.125,0.0625,0.0
IoUMatching,0,car,0.8,0.6,0.00133333
IoUMatching,18,person,0.6,0.4,0.0024
IoUMatching,22,car,0.0144928,0.0144928,0.000117647
IoUMatching,26,person,0.181818,0.0909091,0.000909091
IoUMatching,28,person,0.25,0.125,0.000666667
IoUMatching,62,person,0.5,0.25,0.006
IoUMatching,65,person,0.125,0.0625,0.00107143
